"","Date","HERMES","LVMH","KERING","S&P500","CAC40"
"1",2020-01-02,0,0,0,0,0
"2",2020-01-03,0.00655741281669155,-0.000119260409675647,0.00484953846153851,-0.00705987056130045,0.000440313829347002
"3",2020-01-06,-0.00829143589133193,-0.00942498674170865,-0.0168081803904206,0.00353337269231328,-0.00505782626717012
"4",2020-01-07,0.0125410930882251,0.00204746721012841,0.00930941115726631,-0.00280323845099809,-0.000206157392200125
"5",2020-01-08,0.00884694764647099,0.00673074038461535,0.00167700825108854,0.00490245131051305,0.00310193213901565
"6",2020-01-09,0.00409235304135011,0.0136103442295228,-0.00234382057278721,0.00665526249946735,0.00191507295639192
"7",2020-01-10,0.00291120815138282,-0.0020023698468787,-0.00637698917092183,-0.0028551785323553,-0.000900272596098192
"8",2020-01-13,0.000870792452830145,0.007317375295419,0.00287115701555106,0.00697621520398459,-0.000160627522441255
"9",2020-01-14,0.0145011605974882,0.00995899238429994,-0.00286293707368686,-0.00151453293428189,0.000786926726714595
"10",2020-01-15,0.01286449443789,0.00104411136890955,0.00422225992456382,0.00187019697037271,-0.00137070428566224
"11",2020-01-16,0.00479822765334109,0.00104295280446064,0.0176589310861324,0.00836655316913509,0.00106420308055649
"12",2020-01-17,0.0191010898876404,0.0165547443837195,0.00842841877752784,0.00386216206901585,0.0102152882493194
"13",2020-01-21,-0.0226019356979691,-0.0321147395179976,-0.0386759022220407,-0.00265197760997308,-0.00897106883633745
"14",2020-01-22,0.00282007891449387,-0.00352982693879769,0.00954660114067247,0.000289076089944276,-0.00579065672371045
"15",2020-01-23,-0.00984251951896761,-0.0271578691087627,-0.0317460108393243,0.00114097659366297,-0.00651972575693051
"16",2020-01-24,0.00965633042335135,0.0105594753569275,-0.000174461101871258,-0.00904216086631215,0.00878626452995423
"17",2020-01-27,-0.04303794092827,-0.0367523142950463,-0.0361067720796813,-0.0157307116909547,-0.0267650719363087
"18",2020-01-28,0.00911221602190881,0.027431421446384,0.0166485928330913,0.0100535844644023,0.0107111699748213
"19",2020-01-29,0.0049519722092155,-0.0106795970873786,0.0110359774518187,-0.000866874224314661,0.00490570315389329
"20",2020-01-30,-0.0182608347826087,-0.0213444844748114,-0.0119718098591549,0.00313435886453447,-0.0139582956339603
"21",2020-01-31,-0.00118105694073619,-0.00902483342729759,-0.0110477759576385,-0.0177058202000549,-0.0111431775728845
"22",2020-02-03,0.00325156972810773,0.00366813064512417,-0.00162166486486492,0.00725461378472551,0.00450712888034668
"23",2020-02-04,0.0194460993420053,0.034908647763075,0.0268904974650279,0.0149804141586965,0.0175807745059847
"24",2020-02-05,0.0118497283236994,0.0107160105594348,0.00808431634446392,0.0112505957411163,0.00848351718254881
"25",2020-02-06,-0.0102827933113489,0.00734936867469876,-0.00278935855464535,0.00332567290999002,0.00881817002442283
"26",2020-02-07,0.00346323809523814,-0.00980738217363606,-0.011013965034965,-0.00540085356579788,-0.00139614515537435
"27",2020-02-10,0.000862778227341519,-0.000966358227814305,-0.00565672959540262,0.00732639781883921,-0.00233510145528421
"28",2020-02-11,0.000574747126436825,-0.00290166131016785,0.000355576888888916,0.00168847252055121,0.00649800346542353
"29",2020-02-12,0.0186674318667169,0.0299502990670504,0.0627332277362738,0.00646264641501007,0.00825304651732072
"30",2020-02-13,0.00225539321380115,-0.00741705653636768,-0.00267554515050162,-0.00163044580623824,-0.00189850215127775
"31",2020-02-14,-0.00843881856540084,-0.0156564492655138,-0.0285043583432183,0.00184353340864641,-0.00390439715238744
"32",2020-02-18,-0.00709219858156028,-0.0147005803677384,-0.0167414766969358,-0.00291994262311697,-0.00206451659529886
"33",2020-02-19,0.0182856971428571,0.0249479805559792,0.0303668380473897,0.00470578579780211,0.00898498082844733
"34",2020-02-20,-0.0182379352116375,-0.0220737388495045,-0.034923339011925,-0.00381551980093055,-0.00800826462813869
"35",2020-02-21,-0.00743071175931488,-0.0129331092122921,-0.00864964518976175,-0.0105181028896227,-0.0053741304534508
"36",2020-02-24,-0.0348401278954262,-0.0466007564894932,-0.0471866117031316,-0.0335136265448281,-0.0394462909586262
"37",2020-02-25,-0.00924822759254557,-0.0145209544590321,-0.0198093374610803,-0.0302799956724995,-0.0193702446245655
"38",2020-02-26,0.00271000898446233,0.0136824422159961,0.0104861773117255,-0.00377854049036448,0.000857377325677044
"39",2020-02-27,-0.0375375375375375,-0.0399740272550292,-0.034528279245283,-0.0441632426382664,-0.0332391681807069
"40",2020-02-28,-0.0171606864274571,0.00270379879350333,-0.0115302401048215,-0.0082383404227318,-0.0337907039610799
"41",2020-03-02,0.00761902857142855,0.0141566668870433,-0.00237244370990372,0.0460392287423204,0.00444831699955458
"42",2020-03-03,0.012602394693177,0.00332358410012894,0.0146650691874942,-0.0281078960343269,0.0111839651442801
"43",2020-03-04,0.0158680961269713,0.0208029836363644,0.00312495312499994,0.042202590777126,0.0132983414276336
"44",2020-03-05,-0.00980095558958657,-0.0276480365218681,-0.0235591444030752,-0.0339220771188059,-0.018992154718224
"45",2020-03-06,-0.0194865086106962,-0.0379121144171549,-0.0358923230309073,-0.0170538519303218,-0.0414075900360106
"46",2020-03-09,-0.0447949905362776,-0.0620230487799687,-0.0547052988624613,-0.0759696972824869,-0.0839055242045912
"47",2020-03-10,-0.0161822793731418,-0.0094674911242604,-0.0155343533232955,0.0493963059556748,-0.0151447862506746
"48",2020-03-11,-0.00201411887238913,-0.0138888714655509,-0.0254472979100621,-0.0488684449115334,-0.00568515872132149
