"","date","GSPC.Close"
"1","2020-01-02",3257.850098
"2","2020-01-03",3234.850098
"3","2020-01-06",3246.280029
"4","2020-01-07",3237.179932
"5","2020-01-08",3253.050049
"6","2020-01-09",3274.699951
"7","2020-01-10",3265.350098
"8","2020-01-13",3288.129883
"9","2020-01-14",3283.149902
"10","2020-01-15",3289.290039
"11","2020-01-16",3316.810059
"12","2020-01-17",3329.620117
"13","2020-01-21",3320.790039
"14","2020-01-22",3321.75
"15","2020-01-23",3325.540039
"16","2020-01-24",3295.469971
"17","2020-01-27",3243.629883
"18","2020-01-28",3276.23999
"19","2020-01-29",3273.399902
"20","2020-01-30",3283.659912
"21","2020-01-31",3225.52002
"22","2020-02-03",3248.919922
"23","2020-02-04",3297.590088
"24","2020-02-05",3334.689941
"25","2020-02-06",3345.780029
"26","2020-02-07",3327.709961
"27","2020-02-10",3352.090088
"28","2020-02-11",3357.75
"29","2020-02-12",3379.449951
"30","2020-02-13",3373.939941
"31","2020-02-14",3380.159912
"32","2020-02-18",3370.290039
"33","2020-02-19",3386.149902
"34","2020-02-20",3373.22998
"35","2020-02-21",3337.75
"36","2020-02-24",3225.889893
"37","2020-02-25",3128.209961
"38","2020-02-26",3116.389893
"39","2020-02-27",2978.76001
"40","2020-02-28",2954.219971
"41","2020-03-02",3090.22998
"42","2020-03-03",3003.370117
"43","2020-03-04",3130.120117
"44","2020-03-05",3023.939941
"45","2020-03-06",2972.370117
"46","2020-03-09",2746.560059
"47","2020-03-10",2882.22998
"48","2020-03-11",2741.379883
"49","2020-03-12",2480.639893
"50","2020-03-13",2711.02002
"51","2020-03-16",2386.129883
"52","2020-03-17",2529.189941
"53","2020-03-18",2398.100098
"54","2020-03-19",2409.389893
"55","2020-03-20",2304.919922
"56","2020-03-23",2237.399902
"57","2020-03-24",2447.330078
"58","2020-03-25",2475.560059
"59","2020-03-26",2630.070068
"60","2020-03-27",2541.469971
"61","2020-03-30",2626.649902
"62","2020-03-31",2584.590088
"63","2020-04-01",2470.5
"64","2020-04-02",2526.899902
"65","2020-04-03",2488.649902
"66","2020-04-06",2663.679932
"67","2020-04-07",2659.409912
"68","2020-04-08",2749.97998
"69","2020-04-09",2789.820068
"70","2020-04-13",2761.629883
"71","2020-04-14",2846.060059
"72","2020-04-15",2783.360107
"73","2020-04-16",2799.550049
"74","2020-04-17",2874.560059
"75","2020-04-20",2823.159912
"76","2020-04-21",2736.560059
"77","2020-04-22",2799.310059
"78","2020-04-23",2797.800049
"79","2020-04-24",2836.73999
"80","2020-04-27",2878.47998
"81","2020-04-28",2863.389893
"82","2020-04-29",2939.51001
"83","2020-04-30",2912.429932
"84","2020-05-01",2830.709961
"85","2020-05-04",2842.73999
"86","2020-05-05",2868.439941
"87","2020-05-06",2848.419922
"88","2020-05-07",2881.189941
"89","2020-05-08",2929.800049
"90","2020-05-11",2930.189941
"91","2020-05-12",2870.120117
"92","2020-05-13",2820
"93","2020-05-14",2852.5
"94","2020-05-15",2863.699951
"95","2020-05-18",2953.909912
"96","2020-05-19",2922.939941
"97","2020-05-20",2971.610107
"98","2020-05-21",2948.51001
"99","2020-05-22",2955.449951
"100","2020-05-26",2991.77002
"101","2020-05-27",3036.129883
"102","2020-05-28",3029.72998
"103","2020-05-29",3044.310059
"104","2020-06-01",3055.72998
"105","2020-06-02",3080.820068
"106","2020-06-03",3122.870117
"107","2020-06-04",3112.350098
"108","2020-06-05",3193.929932
"109","2020-06-08",3232.389893
"110","2020-06-09",3207.179932
"111","2020-06-10",3190.139893
"112","2020-06-11",3002.100098
"113","2020-06-12",3041.310059
"114","2020-06-15",3066.590088
"115","2020-06-16",3124.73999
"116","2020-06-17",3113.48999
"117","2020-06-18",3115.340088
"118","2020-06-19",3097.73999
"119","2020-06-22",3117.860107
"120","2020-06-23",3131.290039
"121","2020-06-24",3050.330078
"122","2020-06-25",3083.76001
"123","2020-06-26",3009.050049
"124","2020-06-29",3053.23999
"125","2020-06-30",3100.290039
"126","2020-07-01",3115.860107
"127","2020-07-02",3130.01001
"128","2020-07-06",3179.719971
"129","2020-07-07",3145.320068
"130","2020-07-08",3169.939941
"131","2020-07-09",3152.050049
"132","2020-07-10",3185.040039
"133","2020-07-13",3155.219971
